Speed(mph);Time;Throttle;Voltage;U Inductor;BackEMF;TotalR;Amperage;Flow;New Force(lbf);Legacy Force(lbf);Power/Motor;AvailPower/Motor;OverLoad
0;0,0166798;0,2085899;0,08343595;0,08343595;0;0,021;0;0;0;0;0;75;False
0,5014869;35,65607;100;51,12977;36,29193;14,76235;0,021;1765,553;23,83497;193,5767;219,6871;90,27233;720;False
1,506903;36,89082;100;73,44352;41,95633;31,39421;0,021;1813,044;24,47609;204,1306;216,9324;133,1563;720;False
2,510122;37,97518;100;95,7085;47,24461;48,38879;0,021;1850;24,975;212,5372;214,1683;177,0607;720;False
3,510193;39,00967;100;117,9036;53,23253;64,50016;0,021;1850;24,975;212,5372;211,4099;218,1217;720;False
4,505372;40,01067;100;139,9902;59,38197;80,63339;0,021;1850;24,975;212,5372;210,5243;258,9818;720;False
5,513232;41,00268;100;162,3582;65,60561;96,74712;0,021;1850;24,975;212,5372;209,8559;300,3626;720;False
6,507362;41,94625;100;184,4214;72,35523;112,004;0,021;1850;24,975;212,5372;209,1868;341,1797;720;False
7,509655;42,8806;100;206,6659;77,68533;128,83;0,021;1850;24,975;212,5372;208,5154;382,3319;720;False
8,500186;43,78162;100;228,6493;84,19049;144,3883;0,021;1850;24,975;212,5372;207,8508;423,0012;720;False
9,512051;44,69936;100;251,1062;91,0761;159,9943;0,021;1850;24,975;212,5372;207,1743;464,5464;720;False
10,50255;45,60033;100;273,0887;96,63857;176,3404;0,021;1850;24,975;212,5372;206,5091;505,2142;720;False
11,51335;46,51791;100;295,5221;103,3435;192,0409;0,021;1850;24,975;212,5372;205,8299;546,7159;720;False
12,50412;47,41895;100;317,5107;109,4845;207,7991;0,021;1850;24,975;212,5372;205,164;587,3948;720;False
13,51349;48,33675;100;339,9122;116,2391;223,599;0,021;1850;24,975;212,5372;204,4827;628,8376;720;False
14,50184;49,23762;100;361,8474;121,864;239,8087;0,021;1850;24,975;212,5372;203,8179;669,4176;720;False
15,50992;50,15531;100;384,2202;128,0705;256,1024;0,021;1850;24,975;212,5372;203,1421;710,8074;720;False
16,51946;51,08357;100;389,1892;116,8277;272,749;0,021;1850;24,975;212,5372;202,4597;720;720;False
17,50632;51,97393;100;389,1892;102,6633;286,7442;0,021;1850;24,975;212,5372;201,7951;720;720;False
18,51096;52,89162;100;389,1892;85,7699;303,8355;0,021;1850;24,975;212,5372;199,8568;720;720;False
19,51637;53,8093;100;389,1892;69,8934;319,7232;0,021;1850;24,975;212,5372;196,5971;720;720;False
20,5031;54,71033;100;389,1892;54,67825;334,8515;0,021;1850;24,975;212,5372;193,3995;720;720;False
21,50593;55,62804;100;389,1892;38,58276;350,9265;0,021;1850;24,975;212,5372;190,1506;720;720;False
22,51257;56,56243;100;396,3477;36,56152;359,7617;0,021;1816,023;24,51631;204,802;186,8814;719,7765;720;False
23,51446;57,53016;100;403,7199;36,00189;367,7576;0,021;1782,935;24,06962;197,407;183,6297;719,8064;720;False
24,50829;58,53125;100;411,2427;35,41525;375,9719;0,021;1750,35;23,62973;190,2574;180,4038;719,8188;720;False
25,51229;59,58235;100;418,4811;34,91547;383,678;0,021;1720,121;23,22163;183,7424;177,1471;719,8381;720;False
26,50686;60,66693;100;425,8094;34,37384;391,4621;0,021;1690,507;22,82185;177,4703;173,916;719,8339;720;False
27,5108;61,80146;100;432,6126;33,80829;398,8081;0,021;1663,946;22,46327;171,9373;170,6591;719,8441;720;False
28,50694;62,96939;100;439,5638;33,28717;406,2554;0,021;1637,599;22,10758;166,5354;167,4242;719,829;720;False
29,50878;64,18736;100;446,5035;32,51797;413,9543;0,021;1612,097;21,76331;161,389;164,1682;719,8069;720;False
30,50495;65,43874;100;452,974;32,34659;420,6868;0,021;1589,181;21,45395;156,8334;160,935;719,8578;720;False
31,50555;66,74021;100;459,6509;32,04999;427,6035;0,021;1566,121;21,14264;152,3149;157,6844;719,869;720;False
32,51017;68,09181;100;466,3755;31,51639;434,9017;0,021;1543,515;20,83746;147,9495;154,4178;719,8578;720;False
33,50521;69,47662;100;473,0713;31,20337;441,8223;0,021;1521,696;20,54289;143,7961;151,1862;719,8705;720;False
34,50608;70,91144;100;479,3164;30,85486;448,4253;0,021;1501,902;20,27567;140,0795;147,9329;719,8861;720;False
35,50976;72,39646;100;485,5657;30,37177;455,1428;0,021;1482,537;20,01426;136,4907;144,6693;719,8693;720;False
36,50431;73,91478;100;491,7964;30,28015;461,532;0,021;1463,855;19,76205;133,0724;141,4333;719,9187;720;False
37,50143;75,48321;100;497,8696;29,78586;468,134;0,021;1446,001;19,52101;129,846;138,19;719,9197;720;False
38,50084;77,10164;100;503,8239;29,55365;474,2762;0,021;1428,928;19,29053;126,7981;134,9403;719,9283;720;False
39,50007;78,7701;100;510,043;29,32974;480,7324;0,021;1411,535;19,05573;123,73;131,6878;719,9437;720;False
40,50154;80,48872;100;515,8729;28,75485;487,084;0,021;1395,521;18,83953;120,9384;129,7532;719,9113;720;False
41,5027;82,25726;100;521,7455;28,71704;493,0897;0,021;1379,92;18,62892;118,2495;127,9844;719,967;720;False
42,50385;84,07637;100;527,5988;28,36832;499,1867;0,021;1364,563;18,42159;115,6321;126,2167;719,9416;720;False
43,50477;85,99544;100;445,1471;33,56244;411,5644;0,021;1617,303;14,84685;110,4545;124,4458;719,9379;720;False
44,50168;87,9642;100;449,739;33,23682;416,5683;0,021;1600,818;14,69551;108,2143;122,6839;719,9504;720;False
45,504;89,99924;100;454,4079;32,88025;421,5098;0,021;1584,347;14,54431;105,9988;120,9137;719,9398;720;False
46,50639;92,08474;100;458,8275;32,67776;426,2043;0,021;1569,133;14,40464;103,9729;119,14;719,9616;720;False
47,50411;94,22018;100;463,4518;32,35211;431,071;0,021;1553,461;14,26077;101,9064;117,3753;719,9543;720;False
48,50107;96,40643;100;467,8016;31,97531;435,8896;0,021;1539,019;14,1282;100,0204;115,6134;719,9557;720;False
49,50117;98,65864;100;472,2624;31,72308;440,5516;0,021;1524,494;13,99485;98,14132;113,8422;719,9611;720;False
50,50552;100,9781;100;476,6384;31,47128;445,1848;0,021;1510,496;13,86635;96,3473;112,0662;719,9602;720;False
51,50499;103,3473;100;481,0451;31,19348;449,8698;0,021;1496,661;13,73935;94,59047;110,2968;719,9614;720;False
52,50124;105,7667;100;485,2626;30,80814;454,4629;0,021;1483,61;13,61954;92,94801;108,5325;719,9406;720;False
53,50626;108,2694;100;489,4712;30,57788;458,9185;0,021;1470,878;13,50266;91,35957;106,7525;719,9526;720;False
54,50535;110,8223;100;493,718;30,45468;463,2582;0,021;1458,265;13,38688;89,79945;104,9809;719,9718;720;False
55,50492;113,4417;100;497,9756;30,17761;467,7774;0,021;1445,78;13,27226;88,26838;103,2108;719,9633;720;False
56,50509;116,128;100;502,1531;29,80136;472,306;0,021;1433,715;13,16151;86,80135;101,4374;719,9446;720;False
57,50525;118,8811;100;506,2559;29,64417;476,635;0,021;1422,146;13,0553;85,40604;99,66367;719,9695;720;False
58,50533;121,7007;100;510,2676;29,49847;480,8155;0,021;1410,988;12,95287;84,07122;97,88841;719,9816;720;False
59,50315;124,5874;100;514,3612;29,21375;485,1473;0,021;1399,733;12,84955;82,73532;96,11762;719,9684;720;False
60,50531;127,5572;100;518,373;28,96646;489,3788;0,021;1388,888;12,74999;81,45822;94,33857;719,962;720;False
61,50452;130,5939;100;522,3968;28,76529;493,6764;0,021;1378,216;12,65203;80,21125;92,56552;719,9758;720;False
62,50168;133,7009;100;526,3024;28,47479;497,8196;0,021;1367,93;12,5576;79,01839;90,79414;719,9448;720;False
63,50441;136,901;100;530,3496;28,39868;501,9554;0,021;1357,556;12,46236;77,82441;89,01234;719,9791;720;False
64,50435;140,1712;100;534,1937;28,19199;505,9787;0,021;1347,787;12,37268;76,7084;87,23479;719,9793;720;False
65,50001;143,5085;100;537,9988;27,8931;510,113;0,021;1338,229;12,28494;75,62425;85,46412;719,9654;720;False
66,50459;146,962;100;541,8414;27,80005;514,0884;0,021;1328,776;12,19816;74,55969;83,67606;719,9859;720;False
67,50365;150,4826;100;545,6398;27,51501;518,1458;0,021;1319,494;12,11296;73,52171;81,89796;719,9686;720;False
68,50435;154,1033;100;549,5269;27,35437;522,1786;0,021;1310,169;12,02735;72,48611;80,11649;719,9729;720;False
69,50403;157,8073;100;553,2507;27,21875;526,0333;0,021;1301,367;11,94655;71,51545;78,33622;719,9821;720;False
70,5038;161,6116;100;557,0961;27,06317;530,0319;0,021;1292,385;11,86409;70,53167;76,55597;719,9825;720;False
71,5014;165,4992;100;560,7;26,86932;533,863;0,021;1284,087;11,78792;69,62886;74,77704;719,9874;720;False
72,5015;169,5037;100;564,4343;26,7464;537,702;0,021;1275,603;11,71004;68,71187;72,99394;719,9942;720;False
73,5005;173,6083;100;568,0594;26,49316;541,5656;0,021;1267,436;11,63506;67,83479;71,21201;719,9789;720;False
74,50053;177,8294;100;571,7522;26,33398;545,4207;0,021;1259,251;11,55993;66,96153;69,42751;719,9797;720;False
75,50156;182,1675;100;575,368;26,22479;549,1454;0,021;1251,354;11,48743;66,12432;67,64159;719,9893;720;False
76,50204;186,6226;100;578,9607;26,03162;552,9341;0,021;1243,58;11,41607;65,30524;65,85402;719,984;720;False
77,50027;191,1942;100;582,5963;25,90973;556,7078;0,021;1235,838;11,34499;64,49458;64,0715;719,9943;720;False
78,50066;195,8994;100;586,1313;25,69287;560,4373;0,021;1228,355;11,2763;63,716;62,28354;719,9774;720;False
79,50105;200,7381;100;589,6187;25,55945;564,0527;0,021;1221,096;11,20966;62,96515;60,86198;719,9811;720;False
80,50305;205,7272;100;593,1478;25,37073;567,7599;0,021;1213,817;11,14284;62,21674;60,30495;719,9731;720;False
81,50206;210,8495;100;596,6968;25,29865;571,4235;0,021;1206,64;11,07695;61,48308;59,7512;719,998;720;False
82,50138;216,1221;100;600,155;25,11841;575,0139;0,021;1199,659;11,01287;60,77377;59,19638;719,9814;720;False
83,50253;221,5614;100;603,5459;25,00385;578,5603;0,021;1192,944;10,95123;60,09533;58,64054;719,9965;720;False
84,50268;227,1676;100;607,0543;24,86426;582,1984;0,021;1186,042;10,88787;59,40195;58,08514;719,992;720;False
85,50143;232,9405;100;610,4964;24,72943;585,7598;0,021;1179,349;10,82643;58,73345;57,5305;719,9886;720;False
86,50108;238,8971;100;613,8299;24,55243;589,2827;0,021;1172,939;10,76758;58,09667;56,97455;719,9849;720;False
87,50151;245,0544;100;617,2089;24,42865;592,7657;0,021;1166,518;10,70863;57,46231;56,41888;719,985;720;False
88,50024;251,4109;100;620,6185;24,3457;596,3065;0,021;1160,134;10,65003;56,83516;55,86419;720,0007;720;True
89,50043;257,9849;100;623,9234;24,2099;599,7045;0,021;1153,976;10,5935;56,23341;55,30857;719,9929;720;False
90,50103;264,8932;100;561,716;26,83948;534,857;0,021;1281,755;9,343992;55,09284;54,75356;719,9821;720;False
91,50191;272,1012;100;564,6889;26,72455;537,9666;0,021;1275,022;9,294909;54,51558;54,19774;719,9907;720;False
92,50176;279,56;100;567,5837;26,57147;541,0035;0,021;1268,509;9,247431;53,96006;53,64164;719,985;720;False
93,50095;287,3021;100;570,4989;26,48987;544,0256;0,021;1262,052;9,200359;53,41212;53,08749;719,9993;720;False
94,501;295,346;100;573,3609;26,32257;547,037;0,021;1255,733;9,154295;52,87862;52,53115;719,9883;720;False
95,50137;303,7208;100;576,2531;26,21436;550,0536;0,021;1249,448;9,108478;52,35062;51,97636;719,9983;720;False
96,50038;312,4309;100;579,1243;26,07526;553,0669;0,021;1243,249;9,063284;51,83242;51,42071;719,9956;720;False
97,50134;321,525;100;581,9335;25,9295;556,0025;0,021;1237,24;9,019482;51,33262;50,8647;719,9915;720;False
98,50122;331,0191;100;584,7737;25,79657;558,9778;0,021;1231,23;8,975664;50,83508;50,3093;719,9907;720;False
99,50123;340,9478;100;587,5894;25,7193;561,873;0,021;1225,337;8,93271;50,34967;49,75386;719,9951;720;False
100,5011;351,3597;100;590,4387;25,60974;564,8416;0,021;1219,434;8,889675;49,86572;49,19847;720,0011;720;True
101,5014;362,2889;100;593,2276;25,4776;567,7416;0,021;1213,697;8,847848;49,39757;48,64361;719,9983;720;False
102,5012;373,7694;100;595,9531;25,3103;570,6423;0,021;1208,131;8,807275;48,94557;48,08763;719,9893;720;False
